sample_index,clean_signal,noisy_signal,filtered_signal
7304,2349.0,2648.0,2521.5096536349643
7305,2442.0,3053.0,2754.5493278925924
7306,2529.0,1779.0,2284.3946940352976
7307,2608.0,2864.0,2520.688733428873
7308,2679.0,3054.0,2723.8140968874063
7309,2739.0,3016.0,3009.415855720352
7310,2789.0,3684.0,3200.3225669636154
7311,2826.0,2291.0,2718.309146226634
7312,2852.0,2407.0,2208.354090346042
7313,2865.0,3082.0,2596.3106732439464
7314,2865.0,2988.0,3098.634641429045
7315,2852.0,3303.0,3077.6063864662974
7316,2826.0,3651.0,3416.2902293736233
7317,2789.0,2660.0,3153.368467529807
7318,2739.0,2712.0,2686.729685107951
7319,2679.0,1905.0,2304.951775718786
7320,2608.0,4095.0,3753.5256438913234
7321,2529.0,2481.0,3198.223349924435
7322,2442.0,2790.0,2836.0350190755285
7323,2349.0,2290.0,2425.8153325681296
7324,2251.0,2092.0,2301.3745173165967
7325,2150.0,1957.0,2220.7195015272873
7326,2048.0,1179.0,1634.0471097298491
7327,1945.0,1950.0,1723.976330306796
7328,1844.0,1296.0,1634.7713883166882
7329,1746.0,1676.0,1947.5479229260973
7330,1653.0,2210.0,2046.0300815721905
7331,1566.0,2425.0,2490.671903604027
7332,1487.0,911.0,1776.1731645423304
7333,1416.0,1168.0,1065.4160022274275
7334,1356.0,1272.0,1163.1831502827506
7335,1306.0,623.0,1003.8508983219263
7336,1269.0,1430.0,1189.872396237355
7337,1243.0,1411.0,1400.0796587766692
7338,1230.0,536.0,1166.2550156402624
7339,1230.0,765.0,832.1055265333788
7340,1243.0,921.0,979.8078474316084
7341,1269.0,873.0,957.5270328091425
7342,1306.0,0.0,519.4409657850673
7343,1356.0,655.0,405.9236671433175
7344,1416.0,634.0,624.1192627860873
7345,1487.0,977.0,1017.0027593323923
7346,1566.0,1378.0,1278.4706642339013
7347,1653.0,1716.0,1484.4845957999253
7348,1746.0,1890.0,1740.4141395433908
7349,1844.0,1370.0,1520.812397382101
7350,1945.0,1657.0,1546.1373026879578
7351,2047.0,1965.0,1546.4297863047805
7352,2150.0,2322.0,2205.8876206684163
7353,2251.0,1842.0,1901.9303218628359
7354,2349.0,2889.0,2674.012675967802
7355,2442.0,2678.0,2595.5793907946295
7356,2529.0,2423.0,2501.4278971210833
7357,2608.0,2465.0,2291.66081795802
7358,2679.0,3475.0,3168.9427991169873
7359,2739.0,2734.0,2947.357966709382
7360,2789.0,3433.0,2997.5872139948897
7361,2826.0,2777.0,2896.5005718367215
7362,2852.0,3028.0,2773.474388488712
7363,2865.0,2975.0,2933.58115968928
7364,2865.0,3083.0,2987.3513403488887
7365,2852.0,3401.0,3157.1443565325903
7366,2826.0,2619.0,2915.674598045164
7367,2789.0,3172.0,2983.3906898897712
7368,2739.0,2669.0,2813.9265064076108
7369,2679.0,2890.0,2904.0787326253844
7370,2608.0,2636.0,2728.0846022343558
7371,2529.0,2214.0,2480.788552776559
7372,2442.0,1958.0,2159.2489096926265
7373,2349.0,2197.0,2178.7080026885087
7374,2251.0,1888.0,2147.688648693938
7375,2150.0,2551.0,2348.1482309990706
7376,2048.0,2337.0,2575.748695359484
7377,1945.0,1861.0,2228.996751960468
7378,1844.0,1944.0,1993.785139306666
7379,1746.0,1157.0,1594.3940778509777
7380,1653.0,1528.0,1444.564514736382
7381,1566.0,1562.0,1559.1814961017783
7382,1487.0,1505.0,1690.3066290388908
7383,1416.0,1058.0,1384.2983521150397
7384,1356.0,961.0,1183.0140327972151
7385,1306.0,1191.0,1230.042712577265
7386,1269.0,595.0,1023.1385807652293
7387,1243.0,1592.0,1263.7436762143864
7388,1230.0,1795.0,1659.446191662678
7389,1230.0,1779.0,1899.9881895693638
7390,1243.0,887.0,1338.7360227180748
7391,1269.0,852.0,834.3328741708398
7392,1306.0,1837.0,1315.3044676733582
7393,1356.0,4095.0,2894.030879525093
7394,1416.0,1668.0,1823.4820270182704
7395,1487.0,1464.0,1422.0540281726735
7396,1566.0,1119.0,957.7902269027447
7397,1653.0,686.0,828.9588935979408
7398,1746.0,2297.0,1590.939081895198
7399,1844.0,1849.0,1977.2842016326485
7400,1945.0,1705.0,1844.9198179107555
7401,2047.0,1564.0,1631.509478288449
7402,2150.0,2095.0,2118.6978962597564
7403,2251.0,2167.0,2105.044156221768
7404,2349.0,2830.0,2439.3780750123497
7405,2442.0,2615.0,2521.809301194724
7406,2529.0,2149.0,2139.1998035257775
7407,2608.0,3077.0,2842.1063935100055
7408,2679.0,2252.0,2490.3317912854395
7409,2739.0,2617.0,2419.0317750892855
7410,2789.0,2826.0,2485.555379421691
7411,2826.0,2787.0,2740.938252700593
7412,2852.0,2446.0,2580.2373373972637
7413,2865.0,2742.0,2653.9725001797906
7414,2865.0,2917.0,2789.992536775777
7415,2852.0,3189.0,3000.8190120721197
7416,2826.0,2386.0,2693.0063395059033
7417,2789.0,2332.0,2286.7988057745215
7418,2739.0,2559.0,2383.2027800448263
7419,2679.0,3160.0,2947.2530233446187
7420,2608.0,2535.0,2692.0956319488573
7421,2529.0,2459.0,2495.543455187634
7422,2442.0,932.0,1677.7476150713105
7423,2349.0,2354.0,2021.913214746148
7424,2251.0,1273.0,1839.371513820745
7425,2150.0,2229.0,1991.73648460361
7426,2048.0,1484.0,1884.2846014323368
7427,1945.0,2100.0,1983.9066034443256
7428,1844.0,1939.0,2190.341680291568
7429,1746.0,1162.0,1679.8239201523043
7430,1653.0,1567.0,1462.093205023384
7431,1566.0,0.0,647.2268333586941
7432,1487.0,1693.0,1092.0937136179305
7433,1416.0,994.0,1290.6320191253562
7434,1356.0,1349.0,1500.5892413154456
7435,1306.0,1687.0,1534.6273172258907
7436,1269.0,1040.0,1476.624171502192
7437,1243.0,1342.0,1327.3081407049804
7438,1230.0,1738.0,1440.5660738748352
7439,1230.0,1169.0,1488.9172219030597
7440,1243.0,1185.0,1005.9083369130598
7441,1269.0,1862.0,1495.4577091879169
7442,1306.0,1110.0,1442.020952250762
7443,1356.0,1706.0,1461.5839810131229
7444,1416.0,3389.0,2849.61036133045
7445,1487.0,1543.0,2134.402852524634
